"season","date","team","o_team","payout","adjustor"
2006,2006-10-31,"Bulls","Heat",-110,4.5
2006,2006-10-31,"Heat","Bulls",100,-4.5
2006,2006-10-31,"Suns","Lakers",100,-8
2006,2006-10-31,"Lakers","Suns",-110,8
2006,2006-11-01,"Pacers","Hornets",-102,-1
2006,2006-11-01,"Hornets","Pacers",-108,1
2006,2006-11-01,"Bulls","Magic",-107,-1.5
2006,2006-11-01,"Magic","Bulls",-103,1.5
2006,2006-11-01,"Hawks","Seventysixers",-102,5.5
2006,2006-11-01,"Seventysixers","Hawks",-108,-5.5
2006,2006-11-01,"Pelicans","Celtics",-105,3
2006,2006-11-01,"Celtics","Pelicans",-105,-3
2006,2006-11-01,"Raptors","Nets",-105,7
2006,2006-11-01,"Nets","Raptors",-105,-7
2006,2006-11-01,"Bucks","Pistons",-110,6.5
2006,2006-11-01,"Pistons","Bucks",100,-6.5
2006,2006-11-01,"Kings","Timberwolves",-102,5
2006,2006-11-01,"Timberwolves","Kings",-108,-5
2006,2006-11-01,"Knicks","Grizzlies",-101,5
2006,2006-11-01,"Grizzlies","Knicks",-109,-5
2006,2006-11-01,"Wizards","Cavaliers",-103,6
2006,2006-11-01,"Cavaliers","Wizards",-107,-6
2006,2006-11-01,"Rockets","Jazz",-111,-1.5
2006,2006-11-01,"Jazz","Rockets",101,1.5
2006,2006-11-01,"Lakers","Warriors",103,7
2006,2006-11-01,"Warriors","Lakers",-113,-7
2006,2006-11-01,"Clippers","Suns",-108,4.5
2006,2006-11-01,"Suns","Clippers",-102,-4.5
2006,2006-11-02,"Spurs","Mavericks",-103,2.5
2006,2006-11-02,"Mavericks","Spurs",-107,-2.5
2006,2006-11-02,"Nuggets","Clippers",-104,4
2006,2006-11-02,"Clippers","Nuggets",-106,-4
2006,2006-11-03,"Pelicans","Pacers",-107,4
2006,2006-11-03,"Pacers","Pelicans",-103,-4
2006,2006-11-03,"Bucks","Raptors",-109,-1
2006,2006-11-03,"Raptors","Bucks",-101,1
2006,2006-11-03,"Seventysixers","Magic",-104,5
2006,2006-11-03,"Magic","Seventysixers",-106,-5
2006,2006-11-03,"Pistons","Celtics",-102,-1.5
2006,2006-11-03,"Celtics","Pistons",-108,1.5
2006,2006-11-03,"Nets","Heat",102,4.5
2006,2006-11-03,"Heat","Nets",-112,-4.5
2006,2006-11-03,"Knicks","Hawks",102,2.5
2006,2006-11-03,"Hawks","Knicks",-112,-2.5
2006,2006-11-03,"Cavaliers","Spurs",-115,5.5
2006,2006-11-03,"Spurs","Cavaliers",105,-5.5
2006,2006-11-03,"Hornets","Grizzlies",-113,5
2006,2006-11-03,"Grizzlies","Hornets",103,-5
2006,2006-11-03,"Kings","Bulls",-111,5.5
2006,2006-11-03,"Bulls","Kings",101,-5.5
2006,2006-11-03,"Jazz","Suns",-102,7.5
2006,2006-11-03,"Suns","Jazz",-108,-7.5
2006,2006-11-03,"Timberwolves","Nuggets",-107,5
2006,2006-11-03,"Nuggets","Timberwolves",-103,-5
2006,2006-11-03,"Trailblazers","Warriors",-102,9.5
2006,2006-11-03,"Warriors","Trailblazers",-108,-9.5
2006,2006-11-04,"Celtics","Wizards",-102,7
2006,2006-11-04,"Wizards","Celtics",-108,-7
2006,2006-11-04,"Cavaliers","Hornets",-102,-4
2006,2006-11-04,"Hornets","Cavaliers",-108,4
2006,2006-11-04,"Grizzlies","Pistons",-106,8
2006,2006-11-04,"Pistons","Grizzlies",-104,-8
2006,2006-11-04,"Pacers","Knicks",-111,-3
2006,2006-11-04,"Knicks","Pacers",101,3
2006,2006-11-04,"Kings","Bucks",-112,3
2006,2006-11-04,"Bucks","Kings",102,-3
2006,2006-11-04,"Mavericks","Rockets",102,-2
2006,2006-11-04,"Rockets","Mavericks",-112,2
2006,2006-11-04,"Warriors","Jazz",102,6
2006,2006-11-04,"Jazz","Warriors",-112,-6
2006,2006-11-04,"Timberwolves","Trailblazers",-101,-3.5
2006,2006-11-04,"Trailblazers","Timberwolves",-109,3.5
2006,2006-11-04,"Suns","Clippers",105,4
2006,2006-11-04,"Clippers","Suns",-115,-4
2006,2006-11-05,"Spurs","Raptors",-101,-6.5
2006,2006-11-05,"Raptors","Spurs",-109,6.5
2006,2006-11-05,"Magic","Hawks",101,-3.5
2006,2006-11-05,"Hawks","Magic",-111,3.5
2006,2006-11-05,"Heat","Seventysixers",101,-3
2006,2006-11-05,"Seventysixers","Heat",-111,3
2006,2006-11-05,"Rockets","Pelicans",-114,1.5
2006,2006-11-05,"Pelicans","Rockets",104,-1.5
2006,2006-11-06,"Wizards","Magic",-103,3.5
2006,2006-11-06,"Magic","Wizards",-107,-3.5
2006,2006-11-06,"Spurs","Knicks",102,-6.5
2006,2006-11-06,"Knicks","Spurs",-112,6.5
2006,2006-11-06,"Bucks","Bulls",-109,6.5
2006,2006-11-06,"Bulls","Bucks",-101,-6.5
2006,2006-11-06,"Warriors","Mavericks",-101,9.5
2006,2006-11-06,"Mavericks","Warriors",-109,-9.5
