"season","date","team","o_team","payout","total_pts_proj_om"
2006,2006-10-31,"Bulls","Heat",-112,187
2006,2006-10-31,"Heat","Bulls",102,187
2006,2006-10-31,"Suns","Lakers",-102,206.5
2006,2006-10-31,"Lakers","Suns",-108,206.5
2006,2006-11-01,"Pacers","Hornets",-105,193.5
2006,2006-11-01,"Hornets","Pacers",-105,193.5
2006,2006-11-01,"Bulls","Magic",-105,183.5
2006,2006-11-01,"Magic","Bulls",-105,183.5
2006,2006-11-01,"Hawks","Seventysixers",-111,199
2006,2006-11-01,"Seventysixers","Hawks",101,199
2006,2006-11-01,"Pelicans","Celtics",-105,198
2006,2006-11-01,"Celtics","Pelicans",-105,198
2006,2006-11-01,"Raptors","Nets",-103,202
2006,2006-11-01,"Nets","Raptors",-107,202
2006,2006-11-01,"Bucks","Pistons",-109,194
2006,2006-11-01,"Pistons","Bucks",-101,194
2006,2006-11-01,"Kings","Timberwolves",-102,184.5
2006,2006-11-01,"Timberwolves","Kings",-108,184.5
2006,2006-11-01,"Knicks","Grizzlies",-113,195.5
2006,2006-11-01,"Grizzlies","Knicks",103,195.5
2006,2006-11-01,"Wizards","Cavaliers",101,194
2006,2006-11-01,"Cavaliers","Wizards",-111,194
2006,2006-11-01,"Rockets","Jazz",-101,180
2006,2006-11-01,"Jazz","Rockets",-109,180
2006,2006-11-01,"Lakers","Warriors",-111,204.5
2006,2006-11-01,"Warriors","Lakers",101,204.5
2006,2006-11-01,"Clippers","Suns",-121,210.5
2006,2006-11-01,"Suns","Clippers",111,210.5
2006,2006-11-02,"Spurs","Mavericks",-105,182
2006,2006-11-02,"Mavericks","Spurs",-105,182
2006,2006-11-02,"Nuggets","Clippers",100,209.5
2006,2006-11-02,"Clippers","Nuggets",-110,209.5
2006,2006-11-03,"Pelicans","Pacers",-109,192
2006,2006-11-03,"Pacers","Pelicans",-101,192
2006,2006-11-03,"Bucks","Raptors",-109,207
2006,2006-11-03,"Raptors","Bucks",-101,207
2006,2006-11-03,"Seventysixers","Magic",100,191.5
2006,2006-11-03,"Magic","Seventysixers",-110,191.5
2006,2006-11-03,"Pistons","Celtics",-108,195
2006,2006-11-03,"Celtics","Pistons",-102,195
2006,2006-11-03,"Nets","Heat",-105,186.5
2006,2006-11-03,"Heat","Nets",-105,186.5
2006,2006-11-03,"Knicks","Hawks",-111,204
2006,2006-11-03,"Hawks","Knicks",101,204
2006,2006-11-03,"Cavaliers","Spurs",-102,184.5
2006,2006-11-03,"Spurs","Cavaliers",-108,184.5
2006,2006-11-03,"Hornets","Grizzlies",-105,188
2006,2006-11-03,"Grizzlies","Hornets",-105,188
2006,2006-11-03,"Kings","Bulls",100,186
2006,2006-11-03,"Bulls","Kings",-110,186
2006,2006-11-03,"Jazz","Suns",-105,212.5
2006,2006-11-03,"Suns","Jazz",-105,212.5
2006,2006-11-03,"Timberwolves","Nuggets",-105,198.5
2006,2006-11-03,"Nuggets","Timberwolves",-105,198.5
2006,2006-11-03,"Trailblazers","Warriors",-111,207
2006,2006-11-03,"Warriors","Trailblazers",101,207
2006,2006-11-04,"Celtics","Wizards",-111,200
2006,2006-11-04,"Wizards","Celtics",101,200
2006,2006-11-04,"Cavaliers","Hornets",105,193
2006,2006-11-04,"Hornets","Cavaliers",-115,193
