"season","date","site","playoffs","team","pts","wins","losses","rest","steals","assists","blocks","defensive_rebounds","offensive_rebounds","rebounds","turnovers","fouls","field_goals_attempted","field_goals_made","three_pointers_attempted","three_pointers_made","free_throws_attempted","free_throws_made","pts_in_paint","fast_break_pts","quarter_scores","biggest_lead","o_team","o_pts","o_wins","o_losses","o_rest","o_steals","o_assists","o_blocks","o_defensive_rebounds","o_offensive_rebounds","o_rebounds","o_turnovers","o_fouls","o_field_goals_attempted","o_field_goals_made","o_three_pointers_attempted","o_three_pointers_made","o_free_throws_attempted","o_free_throws_made","o_pts_in_paint","o_fast_break_pts","o_quarter_scores","o_biggest_lead","matchup_wins","matchup_losses","lead_changes","margin_after_first","margin_at_half","margin_after_third","total","line"
2003,2003-10-28,"home",0,"Lakers",109,0,0,NA,7,32,6,39,7,46,10,28,89,45,20,7,20,12,44,15,"29-26-31-23",19,"Mavericks",93,0,0,NA,4,17,1,35,11,46,11,21,85,32,25,7,30,22,34,2,"15-30-22-26",0,0,0,NA,14,10,19,204.5,-3.5
2003,2003-10-28,"away",0,"Mavericks",93,0,0,NA,4,17,1,35,11,46,11,21,85,32,25,7,30,22,34,2,"15-30-22-26",0,"Lakers",109,0,0,NA,7,32,6,39,7,46,10,28,89,45,20,7,20,12,44,15,"29-26-31-23",19,0,0,NA,-14,-10,-19,204.5,3.5
2003,2003-10-28,"home",0,"Seventysixers",89,0,0,NA,12,25,3,27,12,39,8,19,75,33,20,7,30,16,40,24,"24-20-21-24",17,"Heat",74,0,0,NA,3,16,2,32,12,44,19,22,71,29,8,2,17,14,32,11,"19-20-23-12",0,0,0,NA,5,5,3,175,-7
2003,2003-10-28,"away",0,"Heat",74,0,0,NA,3,16,2,32,12,44,19,22,71,29,8,2,17,14,32,11,"19-20-23-12",0,"Seventysixers",89,0,0,NA,12,25,3,27,12,39,8,19,75,33,20,7,30,16,40,24,"24-20-21-24",17,0,0,NA,-5,-5,-3,175,7
2003,2003-10-28,"home",0,"Spurs",83,0,0,NA,8,20,11,31,7,38,20,24,73,31,10,1,26,20,40,7,"19-19-29-16",1,"Suns",82,0,0,NA,7,14,5,26,17,43,18,32,83,30,10,5,21,17,36,18,"28-14-26-14",15,0,0,NA,-9,-4,-1,181.5,-6
2003,2003-10-28,"away",0,"Suns",82,0,0,NA,7,14,5,26,17,43,18,32,83,30,10,5,21,17,36,18,"28-14-26-14",15,"Spurs",83,0,0,NA,8,20,11,31,7,38,20,24,73,31,10,1,26,20,40,7,"19-19-29-16",1,0,0,NA,9,4,1,181.5,6
2003,2003-10-29,"home",0,"Bulls",74,0,0,NA,9,16,8,29,18,47,18,23,82,26,13,3,31,19,26,6,"15-16-26-17",3,"Wizards",99,0,0,NA,12,25,5,37,11,48,18,22,76,37,12,5,30,20,46,11,"20-23-26-30",27,0,0,NA,-5,-12,-12,184.5,-5
2003,2003-10-29,"away",0,"Wizards",99,0,0,NA,12,25,5,37,11,48,18,22,76,37,12,5,30,20,46,11,"20-23-26-30",27,"Bulls",74,0,0,NA,9,16,8,29,18,47,18,23,82,26,13,3,31,19,26,6,"15-16-26-17",3,0,0,NA,5,12,12,184.5,5
2003,2003-10-29,"home",0,"Celtics",98,0,0,NA,9,28,9,35,5,40,10,23,73,37,16,5,26,19,38,13,"20-29-30-19",30,"Heat",75,0,1,0,4,14,2,31,8,39,15,20,71,26,12,5,24,18,20,8,"15-24-22-14",4,0,0,NA,5,10,18,172.5,-10
2003,2003-10-29,"away",0,"Heat",75,0,1,0,4,14,2,31,8,39,15,20,71,26,12,5,24,18,20,8,"15-24-22-14",4,"Celtics",98,0,0,NA,9,28,9,35,5,40,10,23,73,37,16,5,26,19,38,13,"20-29-30-19",30,0,0,NA,-5,-10,-18,172.5,10
2003,2003-10-29,"home",0,"Pelicans",88,0,0,NA,18,24,4,34,21,55,11,20,108,35,25,4,20,14,50,20,"14-19-25-17-13",8,"Hawks",83,0,0,NA,7,18,11,48,10,58,25,20,83,33,14,3,19,14,38,8,"17-23-12-23-8",8,0,0,NA,-3,-7,6,181,-6.5
2003,2003-10-29,"away",0,"Hawks",83,0,0,NA,7,18,11,48,10,58,25,20,83,33,14,3,19,14,38,8,"17-23-12-23-8",8,"Pelicans",88,0,0,NA,18,24,4,34,21,55,11,20,108,35,25,4,20,14,50,20,"14-19-25-17-13",8,0,0,NA,3,7,-6,181,6.5
2003,2003-10-29,"home",0,"Jazz",99,0,0,NA,9,25,5,21,8,29,12,20,73,42,9,5,14,10,48,25,"18-25-23-33",7,"Trailblazers",92,0,0,NA,10,20,2,20,20,40,15,20,84,36,12,4,21,16,38,21,"23-28-19-22",13,0,0,NA,-5,-8,-4,180,5.5
2003,2003-10-29,"away",0,"Trailblazers",92,0,0,NA,10,20,2,20,20,40,15,20,84,36,12,4,21,16,38,21,"23-28-19-22",13,"Jazz",99,0,0,NA,9,25,5,21,8,29,12,20,73,42,9,5,14,10,48,25,"18-25-23-33",7,0,0,NA,5,8,4,180,-5.5
2003,2003-10-29,"home",0,"Kings",106,0,0,NA,7,27,8,28,13,41,10,11,87,44,9,2,20,16,50,15,"39-26-18-23",19,"Cavaliers",92,0,0,NA,6,24,9,29,10,39,14,25,86,40,11,6,9,6,42,22,"32-20-26-14",2,0,0,NA,7,13,5,197,-11.5
2003,2003-10-29,"away",0,"Cavaliers",92,0,0,NA,6,24,9,29,10,39,14,25,86,40,11,6,9,6,42,22,"32-20-26-14",2,"Kings",106,0,0,NA,7,27,8,28,13,41,10,11,87,44,9,2,20,16,50,15,"39-26-18-23",19,0,0,NA,-7,-13,-5,197,11.5
2003,2003-10-29,"home",0,"Knicks",83,0,0,NA,8,20,6,40,8,48,26,22,80,32,16,5,17,14,32,4,"19-15-25-14-10",10,"Magic",85,0,0,NA,11,17,4,32,12,44,17,18,87,32,20,5,29,16,38,7,"17-17-17-22-12",5,0,0,NA,2,0,8,188.5,2.5
2003,2003-10-29,"away",0,"Magic",85,0,0,NA,11,17,4,32,12,44,17,18,87,32,20,5,29,16,38,7,"17-17-17-22-12",5,"Knicks",83,0,0,NA,8,20,6,40,8,48,26,22,80,32,16,5,17,14,32,4,"19-15-25-14-10",10,0,0,NA,-2,0,-8,188.5,-2.5
2003,2003-10-29,"home",0,"Nuggets",80,0,0,NA,8,17,7,40,26,66,17,25,96,28,10,4,29,20,36,24,"20-19-24-17",17,"Spurs",72,1,0,0,11,14,16,37,23,60,18,28,97,26,13,2,23,18,30,18,"20-16-15-21",2,0,0,NA,0,3,12,175.5,5
2003,2003-10-29,"away",0,"Spurs",72,1,0,0,11,14,16,37,23,60,18,28,97,26,13,2,23,18,30,18,"20-16-15-21",2,"Nuggets",80,0,0,NA,8,17,7,40,26,66,17,25,96,28,10,4,29,20,36,24,"20-19-24-17",17,0,0,NA,0,-3,-12,175.5,-5
2003,2003-10-29,"home",0,"Pistons",87,0,0,NA,11,15,12,24,16,40,15,17,79,31,6,2,31,23,36,16,"20-24-22-21",8,"Pacers",89,0,0,NA,8,18,9,27,12,39,19,28,79,36,14,7,15,10,32,9,"19-27-26-17",10,0,0,NA,1,-2,-6,179.5,-4
2003,2003-10-29,"away",0,"Pacers",89,0,0,NA,8,18,9,27,12,39,19,28,79,36,14,7,15,10,32,9,"19-27-26-17",10,"Pistons",87,0,0,NA,11,15,12,24,16,40,15,17,79,31,6,2,31,23,36,16,"20-24-22-21",8,0,0,NA,-1,2,6,179.5,4
