"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2008,2009-04-03,"Heat","Hornets","+187","+190","+180","+180","+185","+180","","+180","","+175"
2008,2009-04-03,"Hornets","Heat","-207","-230","-220","-210","-200","-220","","-220","","-210"
2008,2009-04-03,"Spurs","Pacers","-174","-190","-190","-195","-175","-195","","-200","","-180"
2008,2009-04-03,"Pacers","Spurs","+164","+160","+165","+165","+165","+165","","+170","","+160"
2008,2009-04-03,"Hawks","Celtics","+166","+160","+170","+170","+168","+170","","+170","","+167"
2008,2009-04-03,"Celtics","Hawks","-176","-190","-200","-200","-180","-200","","-200","","-190"
2008,2009-04-03,"Mavericks","Grizzlies","-315","-300","-320","-310","-300","-300","","-310","","-310"
2008,2009-04-03,"Grizzlies","Mavericks","+285","+250","+260","+260","+270","+250","","+255","","+255"
2008,2009-04-03,"Trailblazers","Thunder","-177","-190","-190","-190","-185","-200","","-210","","-185"
2008,2009-04-03,"Thunder","Trailblazers","+167","+160","+165","+160","+170","+170","","+175","","+165"
2008,2009-04-03,"Cavaliers","Magic","+156","+155","+145","+145","+155","+145","","+140","","+150"
2008,2009-04-03,"Magic","Cavaliers","-166","-175","-164","-165","-165","-165","","-160","","-170"
2008,2009-04-03,"Timberwolves","Jazz","+1100","","","+950","+1075","+950","","","","+1050"
2008,2009-04-03,"Jazz","Timberwolves","-1400","","","-1500","-1350","-1500","","","","-1700"
2008,2009-04-03,"Kings","Suns","+1500","","","+1450","+1325","+1450","","","","+1450"
2008,2009-04-03,"Suns","Kings","-2200","","","-2500","-1700","-2500","","","","-2500"
2008,2009-04-03,"Pelicans","Warriors","-250","-260","-260","-235","-245","-230","","-240","","-230"
2008,2009-04-03,"Warriors","Pelicans","+230","+220","+220","+195","+225","+190","","+200","","+190"
2008,2009-04-03,"Rockets","Lakers","+198","+180","+180","+200","+200","+200","","+200","","+180"
2008,2009-04-03,"Lakers","Rockets","-218","-220","-220","-240","-220","-240","","-240","","-220"
