"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2013,2013-12-28,"Cavaliers","Celtics","+4.5 -106","+4.5 -110","+4.5 -110","+4.5 -110","+4.5 -105","+4.5 -110","+4.5 -110","+4.5 -110","+4.5 -110","+4.5 -110"
2013,2013-12-28,"Celtics","Cavaliers","-4.5 -104","-4.5 -110","-4.5 -110","-4.5 -110","-4.5 -105","-4.5 -110","-4.5 -110","-4.5 -110","-4.5 -110","-4.5 -110"
2013,2013-12-28,"Pistons","Wizards","+3.5 -103","+3.5 -110","+3.5 -110","+3.5 -110","+3.5 -105","+3.5 -110","+4 -110","+3.5 -110","+3.5 -110","+3.5 -110"
2013,2013-12-28,"Wizards","Pistons","-3.5 -107","-3.5 -110","-3.5 -110","-3.5 -110","-3.5 -105","-3.5 -110","-4 -110","-3.5 -110","-3.5 -110","-3.5 -110"
2013,2013-12-28,"Nets","Pacers","+13 -103","+13 -110","+13 -110","+13 -110","+13.5 -107","+13 -110","+13.5 -110","+13.5 -110","+13.5 -110","+13 -110"
2013,2013-12-28,"Pacers","Nets","-13 -107","-13 -110","-13 -110","-13 -110","-13.5 -103","-13 -110","-13.5 -110","-13.5 -110","-13.5 -110","-13 -110"
2013,2013-12-28,"Knicks","Raptors","+6.5 -106","+6.5 -110","+6.5 -110","+6.5 -110","+6.5 -107","+6.5 -110","+6.5 -110","+6 -110","+6.5 -110","+6.5 -110"
2013,2013-12-28,"Raptors","Knicks","-6.5 -104","-6.5 -110","-6.5 -110","-6.5 -110","-6.5 -103","-6.5 -110","-6.5 -110","-6 -110","-6.5 -110","-6.5 -110"
2013,2013-12-28,"Hornets","Hawks","+6 -103","+6 -110","+6 -110","+6 -110","+6 -108","+6 -110","+6 -110","+6 -110","+6 -110","+6 -110"
2013,2013-12-28,"Hawks","Hornets","-6 -107","-6 -110","-6 -110","-6 -110","-6 -102","-6 -110","-6 -110","-6 -110","-6 -110","-6 -110"
2013,2013-12-28,"Pelicans","Rockets","+9 -103","+9 -110","+9 -105","+9 -110","+9 -105","+9 -110","+9 -110","+9 -110","+9 -110","+9 -110"
2013,2013-12-28,"Rockets","Pelicans","-9 -107","-9 -110","-9 -115","-9 -110","-9 -105","-9 -110","-9 -110","-9 -110","-9 -110","-9 -110"
2013,2013-12-28,"Mavericks","Bulls","-2.5 -105","-2.5 -110","-2.5 -110","-2.5 -110","-2.5 -105","-2.5 -110","-2.5 -110","-2.5 -110","-2.5 -110","-2.5 -110"
2013,2013-12-28,"Bulls","Mavericks","+2.5 -105","+2.5 -110","+2.5 -110","+2.5 -110","+2.5 -105","+2.5 -110","+2.5 -110","+2.5 -110","+2.5 -110","+2.5 -110"
2013,2013-12-28,"Nuggets","Grizzlies","+3 -105","+3 -110","+3 -110","+3 -110","+3 -103","+3 -110","+3 -110","+3 -110","+3 -110","+3 -110"
2013,2013-12-28,"Grizzlies","Nuggets","-3 -105","-3 -110","-3 -110","-3 -110","-3 -107","-3 -110","-3 -110","-3 -110","-3 -110","-3 -110"
2013,2013-12-28,"Timberwolves","Bucks","-7.5 +101","-7.5 -110","-7.5 -110","-7.5 -110","-7.5 -102","-7.5 -110","-7.5 -110","-7.5 -110","-7.5 -110","-7.5 -110"
2013,2013-12-28,"Bucks","Timberwolves","+7.5 -111","+7.5 -110","+7.5 -110","+7.5 -110","+7.5 -108","+7.5 -110","+7.5 -110","+7.5 -110","+7.5 -110","+7.5 -110"
2013,2013-12-28,"Seventysixers","Suns","+10.5 -110","+10.5 -110","+10.5 -110","+10.5 -110","+10.5 -105","+10.5 -110","+10.5 -110","+10.5 -110","+10.5 -110","+10.5 -110"
2013,2013-12-28,"Suns","Seventysixers","-10.5 +100","-10.5 -110","-10.5 -110","-10.5 -110","-10.5 -105","-10.5 -110","-10.5 -110","-10.5 -110","-10.5 -110","-10.5 -110"
2013,2013-12-28,"Heat","Trailblazers","+7 +102","+7.5 -110","+7 -105","+7 -110","+7 -101","+7 -110","+7.5 -110","+7 -105","+7 -110","+7 -110"
2013,2013-12-28,"Trailblazers","Heat","-7 -113","-7.5 -110","-7 -115","-7 -110","-7 -109","-7 -110","-7.5 -110","-7 -115","-7 -110","-7 -110"
2013,2013-12-28,"Jazz","Clippers","+14.5 -105","+14.5 -110","+14.5 -105","+15 -110","+14.5 -102","+15 -110","+14.5 -110","+15 -110","+15 -110","+15 -110"
2013,2013-12-28,"Clippers","Jazz","-14.5 -105","-14.5 -110","-14.5 -115","-15 -110","-14.5 -108","-15 -110","-14.5 -110","-15 -110","-15 -110","-15 -110"
