"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2009,2010-01-08,"Magic","Wizards","203 -101","203 -110","203 -109","203 -110","203 -110","203 -110","","203 -110","","203 -110"
2009,2010-01-08,"Wizards","Magic","203 -109","203 -110","203 -109","203 -110","203 -110","203 -110","","203 -110","","203 -110"
2009,2010-01-08,"Raptors","Seventysixers","208 +101","209 -110","208 -109","208 -110","208 -110","208 -110","","208 -110","","208 -110"
2009,2010-01-08,"Seventysixers","Raptors","208 -111","209 -110","208 -109","208 -110","208 -110","208 -110","","208 -110","","208 -110"
2009,2010-01-08,"Jazz","Grizzlies","204 -112","204 -110","204 -109","204 -110","204 -110","204 -110","","204 -110","","204 -110"
2009,2010-01-08,"Grizzlies","Jazz","204 +102","204 -110","204 -109","204 -110","204 -110","204 -110","","204 -110","","204 -110"
2009,2010-01-08,"Celtics","Hawks","195 -104","195 -110","195 -109","195 -110","195 -110","195 -110","","195 -110","","195 -110"
2009,2010-01-08,"Hawks","Celtics","195 -106","195 -110","195 -109","195 -110","195 -110","195 -110","","195 -110","","195 -110"
2009,2010-01-08,"Nets","Pelicans","190 -105","190 -110","189.5 -109","190 -110","189.5 -110","190 -110","","190 -110","","190 -110"
2009,2010-01-08,"Pelicans","Nets","190 -105","190 -110","189.5 -109","190 -110","189.5 -110","190 -110","","190 -110","","190 -110"
2009,2010-01-08,"Pacers","Timberwolves","212 -113","212.5 -110","212 -114","212 -110","212 -110","212 -110","","212 -110","","212.5 -110"
2009,2010-01-08,"Timberwolves","Pacers","212 +103","212.5 -110","212 -104","212 -110","212 -110","212 -110","","212 -110","","212.5 -110"
2009,2010-01-08,"Bulls","Bucks","193 -103","192.5 -110","193 -109","192.5 -110","193 -110","192.5 -110","","193 -105","","192.5 -110"
2009,2010-01-08,"Bucks","Bulls","193 -107","192.5 -110","193 -109","192.5 -110","193 -110","192.5 -110","","193 -115","","192.5 -110"
2009,2010-01-08,"Mavericks","Spurs","194.5 -110","194.5 -110","194.5 -109","194.5 -110","194.5 -110","195 -110","","195 -110","","195 -110"
2009,2010-01-08,"Spurs","Mavericks","194.5 +100","194.5 -110","194.5 -109","194.5 -110","194.5 -110","195 -110","","195 -110","","195 -110"
2009,2010-01-08,"Heat","Suns","214.5 -113","214.5 -110","214.5 -109","214.5 -110","214.5 -110","214.5 -110","","214 -115","","214.5 -110"
2009,2010-01-08,"Suns","Heat","214.5 +103","214.5 -110","214.5 -109","214.5 -110","214.5 -110","214.5 -110","","214 -105","","214.5 -110"
2009,2010-01-08,"Lakers","Trailblazers","194 -109","194.5 -110","194 -109","194 -110","193.5 -110","194 -110","","194 -115","","194 -110"
2009,2010-01-08,"Trailblazers","Lakers","194 -101","194.5 -110","194 -109","194 -110","193.5 -110","194 -110","","194 -105","","194 -110"
2009,2010-01-08,"Kings","Warriors","229 -110","229.5 -110","229.5 -109","229.5 -110","228.5 -110","229.5 -110","","229 -110","","229 -110"
2009,2010-01-08,"Warriors","Kings","229 +100","229.5 -110","229.5 -109","229.5 -110","228.5 -110","229.5 -110","","229 -110","","229 -110"
2009,2010-01-08,"Cavaliers","Nuggets","202.5 -116","203.5 -110","202.5 -109","203.5 -110","202.5 -110","203.5 -110","","203 -110","","203 -110"
2009,2010-01-08,"Nuggets","Cavaliers","202.5 +106","203.5 -110","202.5 -109","203.5 -110","202.5 -110","203.5 -110","","203 -110","","203 -110"
